Sr. No,Row Labels,Sum of Total Count,,Remark
1,F1,9249,0.2756780923994039,Top 10 Comp.
2,BD1,8389,0.25004470938897166,Top 10 Comp.
3,R100,6464,0.19266766020864382,Top 10 Comp.
4,DRV,5323,0.1586587183308495,Top 10 Comp.
5,C5,4899,0.14602086438152012,Top 10 Comp.
6,RED WIRE,3612,0.1076602086438152,Top 10 Comp.
7,BLACK WIRE,3300,0.09836065573770492,Top 10 Comp.
8,FEMALE WIRE,3252,0.09692995529061103,Top 10 Comp.
9,C2,3020,0.09001490312965722,Top 10 Comp.
10,J2,2549,0.07597615499254844,Top 10 Comp.
11,D1,2541,0.07573770491803279,Top 20 Comp.
12,MALE WIRE,2400,0.07153502235469449,Top 20 Comp.
13,LM358,2390,0.07123695976154992,Top 20 Comp.
14,R2,2345,0.06989567809239941,Top 20 Comp.
15,L1,2159,0.06435171385991058,Top 20 Comp.
16,C4,1958,0.058360655737704915,Top 20 Comp.
17,MOV,1928,0.05746646795827124,Top 20 Comp.
18,L2,1732,0.05162444113263785,Top 20 Comp.
19,D2,1394,0.04154992548435171,Top 20 Comp.
20,J3,1120,0.03338301043219076,Top 20 Comp.
21,D6,828,0.0246795827123696,
22,D3,693,0.020655737704918034,
23,D4,606,0.01806259314456036,
24,Q1,589,0.017555886736214606,
25,T1,433,0.012906110283159463,
26,C20,379,0.011296572280178838,
27,D5,370,0.011028315946348734,
28,C3,225,0.0067064083457526085,
29,6UF CAP,196,0.005842026825633383,
30,J4,171,0.0050968703427719825,
31,R5,145,0.004321907600596126,
32,C12,137,0.004083457526080477,
33,D10,82,0.002444113263785395,
34,L3,63,0.0018777943368107303,
35,C1,60,0.0017883755588673621,
36,D13,57,0.001698956780923994,
37,D11,50,0.0014903129657228018,
38,R30,38,0.0011326378539493294,
39,D12,36,0.0010730253353204173,
40,R1,35,0.0010432190760059613,
41,U2,32,0.0009538002980625931,
42,Z1,30,0.0008941877794336811,
43,C34,26,0.0007749627421758569,
44,SENSOR,25,0.0007451564828614009,
45,Q9,25,0.0007451564828614009,
46,C6,23,0.0006855439642324888,
47,R3,23,0.0006855439642324888,
48,D15,18,0.0005365126676602086,
49,Z4,17,0.0005067064083457526,
50,D9,16,0.00047690014903129657,
51,Q8,14,0.0004172876304023845,
52,C7,9,0.0002682563338301043,
53,D14,5,0.00014903129657228018,
54,MALE WIR,4,0.00011922503725782414,
55,C9,4,0.00011922503725782414,
56,U3,4,0.00011922503725782414,
57,NFF,4,0.00011922503725782414,
58,C14,3,8.941877794336811e-05,
59,Q2,3,8.941877794336811e-05,
60,Q7,3,8.941877794336811e-05,
61,LED BREAK,2,5.961251862891207e-05,
62,D8,2,5.961251862891207e-05,
63,C27,2,5.961251862891207e-05,
64,J1,1,2.9806259314456036e-05,
65,C15,1,2.9806259314456036e-05,
66,C23,1,2.9806259314456036e-05,
67,C11,1,2.9806259314456036e-05,
68,C30,1,2.9806259314456036e-05,
69,U1,1,2.9806259314456036e-05,
70,Q3,1,2.9806259314456036e-05,
71,R11,1,2.9806259314456036e-05,
72,C8,1,2.9806259314456036e-05,
73,R31,1,2.9806259314456036e-05,
74,D32,1,2.9806259314456036e-05,
75,R40,1,2.9806259314456036e-05,
,Grand Total,75523,,
